"T","Points:0","Points:1","Points:2"
1514.2,38672,1.2422e+05,0
1510.9,39844,1.2422e+05,0
1533.5,39844,1.2188e+05,0
1531,41016,1.2188e+05,0
1528.5,42188,1.2188e+05,0
1523.1,39844,1.2305e+05,0
1520.2,41016,1.2305e+05,0
1517.3,42188,1.2305e+05,0
1510.9,39844,1.2422e+05,0
1507.5,41016,1.2422e+05,0
1504.1,42188,1.2422e+05,0
1517.5,37500,1.2422e+05,0
1514.2,38672,1.2422e+05,0
1510.9,39844,1.2422e+05,0
1504.2,37500,1.2539e+05,0
1500.4,38672,1.2539e+05,0
1496.6,39844,1.2539e+05,0
1488.6,37500,1.2656e+05,0
1484.2,38672,1.2656e+05,0
1479.8,39844,1.2656e+05,0
1510.9,39844,1.2422e+05,0
1507.5,41016,1.2422e+05,0
1504.1,42188,1.2422e+05,0
1496.6,39844,1.2539e+05,0
1492.7,41016,1.2539e+05,0
1488.8,42188,1.2539e+05,0
1479.8,39844,1.2656e+05,0
1475.4,41016,1.2656e+05,0
1470.9,42188,1.2656e+05,0
1528.5,42188,1.2188e+05,0
1525.9,43359,1.2188e+05,0
1523.3,44531,1.2188e+05,0
1517.3,42188,1.2305e+05,0
1514.3,43359,1.2305e+05,0
1511.2,44531,1.2305e+05,0
1504.1,42188,1.2422e+05,0
1500.6,43359,1.2422e+05,0
1497.2,44531,1.2422e+05,0
1523.3,44531,1.2188e+05,0
1520.7,45703,1.2188e+05,0
1518,46875,1.2188e+05,0
1511.2,44531,1.2305e+05,0
1508.2,45703,1.2305e+05,0
1505.1,46875,1.2305e+05,0
1497.2,44531,1.2422e+05,0
1493.7,45703,1.2422e+05,0
1490.2,46875,1.2422e+05,0
1504.1,42188,1.2422e+05,0
1500.6,43359,1.2422e+05,0
1497.2,44531,1.2422e+05,0
1488.8,42188,1.2539e+05,0
1484.8,43359,1.2539e+05,0
1480.9,44531,1.2539e+05,0
1470.9,42188,1.2656e+05,0
1466.5,43359,1.2656e+05,0
1462.1,44531,1.2656e+05,0
1497.2,44531,1.2422e+05,0
1493.7,45703,1.2422e+05,0
1490.2,46875,1.2422e+05,0
1480.9,44531,1.2539e+05,0
1476.9,45703,1.2539e+05,0
1473,46875,1.2539e+05,0
1462.1,44531,1.2656e+05,0
1457.6,45703,1.2656e+05,0
1453.3,46875,1.2656e+05,0
1488.6,37500,1.2656e+05,0
1484.2,38672,1.2656e+05,0
1479.8,39844,1.2656e+05,0
1470.2,37500,1.2773e+05,0
1465.3,38672,1.2773e+05,0
1460.3,39844,1.2773e+05,0
1448.9,37500,1.2891e+05,0
1443.4,38672,1.2891e+05,0
1437.8,39844,1.2891e+05,0
1479.8,39844,1.2656e+05,0
1475.4,41016,1.2656e+05,0
1470.9,42188,1.2656e+05,0
1460.3,39844,1.2773e+05,0
1455.4,41016,1.2773e+05,0
1450.4,42188,1.2773e+05,0
1437.8,39844,1.2891e+05,0
1432.3,41016,1.2891e+05,0
1426.8,42188,1.2891e+05,0
1448.9,37500,1.2891e+05,0
1443.4,38672,1.2891e+05,0
1437.8,39844,1.2891e+05,0
1424.2,37500,1.3008e+05,0
1418.1,38672,1.3008e+05,0
1412,39844,1.3008e+05,0
1395.9,37500,1.3125e+05,0
1389.1,38672,1.3125e+05,0
1382.5,39844,1.3125e+05,0
1437.8,39844,1.2891e+05,0
1432.3,41016,1.2891e+05,0
1426.8,42188,1.2891e+05,0
1412,39844,1.3008e+05,0
1406,41016,1.3008e+05,0
1400,42188,1.3008e+05,0
1382.5,39844,1.3125e+05,0
1375.9,41016,1.3125e+05,0
1369.4,42188,1.3125e+05,0
1470.9,42188,1.2656e+05,0
1466.5,43359,1.2656e+05,0
1462.1,44531,1.2656e+05,0
1450.4,42188,1.2773e+05,0
1445.4,43359,1.2773e+05,0
1440.5,44531,1.2773e+05,0
1426.8,42188,1.2891e+05,0
1421.4,43359,1.2891e+05,0
1416,44531,1.2891e+05,0
1462.1,44531,1.2656e+05,0
1457.6,45703,1.2656e+05,0
1453.3,46875,1.2656e+05,0
1440.5,44531,1.2773e+05,0
1435.6,45703,1.2773e+05,0
1430.8,46875,1.2773e+05,0
1416,44531,1.2891e+05,0
1410.6,45703,1.2891e+05,0
1405.3,46875,1.2891e+05,0
1426.8,42188,1.2891e+05,0
1421.4,43359,1.2891e+05,0
1416,44531,1.2891e+05,0
1400,42188,1.3008e+05,0
1394.1,43359,1.3008e+05,0
1388.2,44531,1.3008e+05,0
1369.4,42188,1.3125e+05,0
1363,43359,1.3125e+05,0
1356.6,44531,1.3125e+05,0
1416,44531,1.2891e+05,0
1410.6,45703,1.2891e+05,0
1405.3,46875,1.2891e+05,0
1388.2,44531,1.3008e+05,0
1382.3,45703,1.3008e+05,0
1376.6,46875,1.3008e+05,0
1356.6,44531,1.3125e+05,0
1350.4,45703,1.3125e+05,0
1344.1,46875,1.3125e+05,0
1518,46875,1.2188e+05,0
1515.3,48047,1.2188e+05,0
1512.6,49219,1.2188e+05,0
1505.1,46875,1.2305e+05,0
1502,48047,1.2305e+05,0
1498.9,49219,1.2305e+05,0
1490.2,46875,1.2422e+05,0
1486.6,48047,1.2422e+05,0
1483.1,49219,1.2422e+05,0
1512.6,49219,1.2188e+05,0
1509.8,50391,1.2188e+05,0
1507,51562,1.2188e+05,0
1498.9,49219,1.2305e+05,0
1495.7,50391,1.2305e+05,0
1492.6,51562,1.2305e+05,0
1483.1,49219,1.2422e+05,0
1479.5,50391,1.2422e+05,0
